onset	onsetTR	message	subject	run	block	condition	phase	stimulus
4.500	3.000	stimOnset	011	2	1	continuous_4s	1.047	gabor45
8.500	5.667	stimOffset	011	2	1	continuous_4s	1.047	gabor45
8.516	5.678	breakOnset	011	2	1	continuous_4s	1.047	gabor45
8.524	5.682	buttonpress	011	2	1	continuous_4s	1.047	gabor45
22.499	15.000	stimOnset	011	2	2	continuous_4s	4.189	gabor45
24.416	16.277	fixCatch	011	2	2	continuous_4s	4.189	gabor45
26.499	17.666	stimOffset	011	2	2	continuous_4s	4.189	gabor45
26.516	17.677	breakOnset	011	2	2	continuous_4s	4.189	gabor45
26.520	17.680	buttonpress	011	2	2	continuous_4s	4.189	gabor45
40.499	26.999	stimOnset	011	2	3	continuous_6s	4.712	gabor135
46.499	30.999	stimOffset	011	2	3	continuous_6s	4.712	gabor135
46.515	31.010	breakOnset	011	2	3	continuous_6s	4.712	gabor135
59.998	39.999	stimOnset	011	2	4	continuous_8s	5.236	gabor45
61.182	40.788	fixCatch	011	2	4	continuous_8s	5.236	gabor45
67.998	45.332	stimOffset	011	2	4	continuous_8s	5.236	gabor45
68.015	45.343	breakOnset	011	2	4	continuous_8s	5.236	gabor45
68.018	45.345	buttonpress	011	2	4	continuous_8s	5.236	gabor45
82.498	54.998	stimOnset	011	2	5	flashed_6s	0.262	gabor45
82.531	55.021	stimOffset	011	2	5	flashed_6s	0.262	gabor45
82.748	55.165	stimOnset	011	2	5	flashed_6s	0.262	gabor45
82.781	55.187	stimOffset	011	2	5	flashed_6s	0.262	gabor45
82.998	55.332	stimOnset	011	2	5	flashed_6s	0.262	gabor45
83.031	55.354	stimOffset	011	2	5	flashed_6s	0.262	gabor45
83.248	55.498	stimOnset	011	2	5	flashed_6s	0.262	gabor45
83.281	55.521	stimOffset	011	2	5	flashed_6s	0.262	gabor45
83.498	55.665	stimOnset	011	2	5	flashed_6s	0.262	gabor45
83.531	55.687	stimOffset	011	2	5	flashed_6s	0.262	gabor45
83.748	55.832	stimOnset	011	2	5	flashed_6s	0.262	gabor45
83.781	55.854	stimOffset	011	2	5	flashed_6s	0.262	gabor45
83.998	55.998	stimOnset	011	2	5	flashed_6s	0.262	gabor45
84.031	56.021	stimOffset	011	2	5	flashed_6s	0.262	gabor45
84.248	56.165	stimOnset	011	2	5	flashed_6s	0.262	gabor45
84.281	56.187	stimOffset	011	2	5	flashed_6s	0.262	gabor45
84.498	56.332	stimOnset	011	2	5	flashed_6s	0.262	gabor45
84.531	56.354	stimOffset	011	2	5	flashed_6s	0.262	gabor45
84.748	56.498	stimOnset	011	2	5	flashed_6s	0.262	gabor45
84.781	56.521	stimOffset	011	2	5	flashed_6s	0.262	gabor45
84.998	56.665	stimOnset	011	2	5	flashed_6s	0.262	gabor45
85.031	56.687	stimOffset	011	2	5	flashed_6s	0.262	gabor45
85.081	56.721	fixCatch	011	2	5	flashed_6s	0.262	gabor45
85.248	56.832	stimOnset	011	2	5	flashed_6s	0.262	gabor45
85.281	56.854	stimOffset	011	2	5	flashed_6s	0.262	gabor45
85.498	56.998	stimOnset	011	2	5	flashed_6s	0.262	gabor45
85.531	57.021	stimOffset	011	2	5	flashed_6s	0.262	gabor45
85.748	57.165	stimOnset	011	2	5	flashed_6s	0.262	gabor45
85.781	57.187	stimOffset	011	2	5	flashed_6s	0.262	gabor45
85.997	57.332	stimOnset	011	2	5	flashed_6s	0.262	gabor45
86.031	57.354	stimOffset	011	2	5	flashed_6s	0.262	gabor45
86.247	57.498	stimOnset	011	2	5	flashed_6s	0.262	gabor45
86.281	57.521	stimOffset	011	2	5	flashed_6s	0.262	gabor45
86.497	57.665	stimOnset	011	2	5	flashed_6s	0.262	gabor45
86.531	57.687	stimOffset	011	2	5	flashed_6s	0.262	gabor45
86.747	57.832	stimOnset	011	2	5	flashed_6s	0.262	gabor45
86.781	57.854	stimOffset	011	2	5	flashed_6s	0.262	gabor45
86.997	57.998	stimOnset	011	2	5	flashed_6s	0.262	gabor45
87.031	58.021	stimOffset	011	2	5	flashed_6s	0.262	gabor45
87.247	58.165	stimOnset	011	2	5	flashed_6s	0.262	gabor45
87.281	58.187	stimOffset	011	2	5	flashed_6s	0.262	gabor45
87.497	58.332	stimOnset	011	2	5	flashed_6s	0.262	gabor45
87.531	58.354	stimOffset	011	2	5	flashed_6s	0.262	gabor45
87.747	58.498	stimOnset	011	2	5	flashed_6s	0.262	gabor45
87.781	58.521	stimOffset	011	2	5	flashed_6s	0.262	gabor45
87.997	58.665	stimOnset	011	2	5	flashed_6s	0.262	gabor45
88.031	58.687	stimOffset	011	2	5	flashed_6s	0.262	gabor45
88.247	58.832	stimOnset	011	2	5	flashed_6s	0.262	gabor45
88.281	58.854	stimOffset	011	2	5	flashed_6s	0.262	gabor45
88.497	58.998	breakOnset	011	2	5	flashed_6s	0.262	gabor45
88.501	59.001	buttonpress	011	2	5	flashed_6s	0.262	gabor45
97.497	64.998	stimOnset	011	2	6	continuous_6s	0.000	gabor45
100.914	67.276	fixCatch	011	2	6	continuous_6s	0.000	gabor45
103.497	68.998	stimOffset	011	2	6	continuous_6s	0.000	gabor45
103.514	69.009	breakOnset	011	2	6	continuous_6s	0.000	gabor45
103.517	69.011	buttonpress	011	2	6	continuous_6s	0.000	gabor45
116.997	77.998	stimOnset	011	2	7	continuous_8s	3.665	gabor135
124.996	83.331	stimOffset	011	2	7	continuous_8s	3.665	gabor135
125.013	83.342	breakOnset	011	2	7	continuous_8s	3.665	gabor135
125.016	83.344	buttonpress	011	2	7	continuous_8s	3.665	gabor135
139.496	92.997	stimOnset	011	2	8	flashed_8s	5.498	gabor45
139.529	93.020	stimOffset	011	2	8	flashed_8s	5.498	gabor45
139.763	93.175	stimOnset	011	2	8	flashed_8s	5.498	gabor45
139.796	93.197	stimOffset	011	2	8	flashed_8s	5.498	gabor45
140.029	93.353	stimOnset	011	2	8	flashed_8s	5.498	gabor45
140.063	93.375	stimOffset	011	2	8	flashed_8s	5.498	gabor45
140.296	93.531	stimOnset	011	2	8	flashed_8s	5.498	gabor45
140.329	93.553	stimOffset	011	2	8	flashed_8s	5.498	gabor45
140.563	93.708	stimOnset	011	2	8	flashed_8s	5.498	gabor45
140.596	93.731	stimOffset	011	2	8	flashed_8s	5.498	gabor45
140.829	93.886	stimOnset	011	2	8	flashed_8s	5.498	gabor45
140.863	93.908	stimOffset	011	2	8	flashed_8s	5.498	gabor45
141.096	94.064	stimOnset	011	2	8	flashed_8s	5.498	gabor45
141.129	94.086	stimOffset	011	2	8	flashed_8s	5.498	gabor45
141.363	94.242	stimOnset	011	2	8	flashed_8s	5.498	gabor45
141.396	94.264	stimOffset	011	2	8	flashed_8s	5.498	gabor45
141.629	94.419	stimOnset	011	2	8	flashed_8s	5.498	gabor45
141.663	94.442	stimOffset	011	2	8	flashed_8s	5.498	gabor45
141.896	94.597	stimOnset	011	2	8	flashed_8s	5.498	gabor45
141.929	94.619	stimOffset	011	2	8	flashed_8s	5.498	gabor45
142.163	94.775	stimOnset	011	2	8	flashed_8s	5.498	gabor45
142.196	94.797	stimOffset	011	2	8	flashed_8s	5.498	gabor45
142.429	94.953	stimOnset	011	2	8	flashed_8s	5.498	gabor45
142.463	94.975	stimOffset	011	2	8	flashed_8s	5.498	gabor45
142.696	95.131	stimOnset	011	2	8	flashed_8s	5.498	gabor45
142.729	95.153	stimOffset	011	2	8	flashed_8s	5.498	gabor45
142.962	95.308	stimOnset	011	2	8	flashed_8s	5.498	gabor45
